Tstart,Tend,Bx,By,Bz,Bmag_avg,Ni_avg,Vx,Vy,Vz,VSW,Vth_mag_Ion,Vth_para_Ion,Vth_perp_Ion,Ne,Ue,Te,,Ti,Ti_para,Ti_perp, ,VA,Beta,Beta_para,Beta_perp,Omega_i,omega_pi,omega_pe,rho_i,rho_s,rho_c,d_i,d_e,sigma_i,Lperp,lambda_r, ,f_di,f_rhoi,f_rhos,f_rhoc,f_lambdad,f_lambdad scaled,,f_brk,k_brk,l_brk,,eps0,8.85E-12
2010-01-01T04:02:46.669000, 2010-01-01T04:12:46.693000,-3.92E-10,2.56E-09,1.36E-09,2.95E-09,3455912.55,-277362.567,-2316.856593,-15582.78192,277817.1271,18870.40303,21366.71736,17446.82035,3690851.088,251410.3615,178790.0671,,2.77E+04,1.84E+04,8.25E+08, ,3.46E+04,0.297323542,0.381190929,0.254155507,2.83E-01,2447.526426,108382.8181,6.18E+04,1.11E+05,1.89E+05,1.13E+05,2.77E+03,7.56E+04,442159690.5,54043.99613, ,3.90E-01,7.16E-01,3.98E-01,2.34E-01,0.818147662,0.174073971,,0.137996981,3.12098E-06,320412.5817,,mu0,1.25664E-06
2010-01-01T05:19:03.484000, 2010-01-01T05:29:03.508000,-3.86E-10,2.59E-09,8.53E-10,2.77E-09,3978699.095,-280186.003,-752.7985984,-11864.25057,280441.7361,20008.45069,22451.05154,18661.25702,4106936.22,261926.1897,186991.8181,,3.05E+04,2.11E+04,1.02E+09, ,3.03E+04,0.436248976,0.549263666,0.379480345,2.65E-01,2626.13208,114328.9346,7.03E+04,1.23E+05,1.91E+05,1.06E+05,2.62E+03,8.46E+04,446336885.5,55304.06624, ,4.19E-01,6.35E-01,3.63E-01,2.34E-01,0.807059798,0.171714851,,0.598977017,1.34198E-05,74516.52944,,mpi,1.67E-27
2010-01-01T06:29:19.016000, 2010-01-01T06:39:19.040000,1.29E-09,2.28E-09,6.67E-11,2.68E-09,3849455.234,-292825.0707,260.5246027,-5311.889143,292883.0022,20554.32401,24429.98788,18307.84133,4047585.167,242795.4965,178934.7237,,3.62E+04,2.03E+04,9.92E+08, ,2.98E+04,0.475229008,0.67134081,0.377025587,2.57E-01,2583.126377,113499.8206,7.13E+04,1.12E+05,1.98E+05,1.03E+05,2.64E+03,9.51E+04,466137775.5,53488.63355, ,4.51E-01,6.54E-01,4.16E-01,2.35E-01,0.871470712,0.1854193,,0.389835096,8.36309E-06,119573.0657,,mpe,9.11E-31
2010-01-01T08:33:42.975000, 2010-01-01T08:43:42.999000,5.97E-10,1.69E-09,1.94E-09,2.87E-09,3991134.419,-292036.6482,1307.904916,-14969.68472,292449.5826,22077.0902,27808.99298,18520.441,4066962.747,255070.2792,173484.7357,,4.68E+04,2.08E+04,1.00E+09, ,3.14E+04,0.494808198,0.785097776,0.348221731,2.75E-01,2630.232833,113771.1831,6.73E+04,9.15E+04,1.97E+05,9.56E+04,2.64E+03,1.01E+05,465447966.7,48818.0411, ,4.87E-01,6.92E-01,5.09E-01,2.37E-01,0.953434338,0.20285837,,0.219198854,4.70942E-06,212340.5111,,e,1.60E-19
2010-01-01T08:50:28.259000, 2010-01-01T09:00:28.283000,-9.88E-11,2.51E-09,1.37E-09,2.88E-09,3896364.362,-289144.6348,-1871.556979,-12792.35438,289436.6981,22206.52148,26115.37801,19941.86329,4050809.829,260415.696,178294.0781,,4.13E+04,2.41E+04,9.94E+08, ,3.19E+04,0.486114013,0.672310208,0.392020286,2.76E-01,2598.817596,113545.0236,7.22E+04,1.06E+05,1.98E+05,1.04E+05,2.64E+03,9.46E+04,460652812.2,52117.71657, ,4.45E-01,6.38E-01,4.34E-01,2.32E-01,0.883869905,0.188057427,,0.702904988,1.52589E-05,65535.57314,,kb,1.38E-23
2010-01-01T11:18:48.246000, 2010-01-01T11:28:48.270000,-9.69E-10,3.36E-09,2.03E-09,4.06E-09,3816072.639,-285456.5364,-5252.687785,-14523.19746,285882.6916,17299.56046,18810.82439,16457.42566,4366272.764,257227.3231,174698.4111,,2.14E+04,1.64E+04,1.15E+09, ,4.53E+04,0.14578887,0.172373258,0.131940473,3.89E-01,2571.901512,117883.3879,4.23E+04,8.55E+04,1.59E+05,1.11E+05,2.54E+03,4.84E+04,454996435.2,46497.27531, ,4.10E-01,1.07E+00,5.32E-01,2.86E-01,0.978544296,0.208200914,,0.299701239,6.58689E-06,151816.6683,,c,3.00E+08
2010-01-01T11:30:38.486000, 2010-01-01T11:40:38.510000,-7.66E-10,3.58E-09,1.98E-09,4.22E-09,3586887.093,-289742.3728,-7908.477946,-14544.20232,290231.0195,16347.90862,17527.56148,15706.45091,4439618.359,256108.9544,172007.3015,,1.86E+04,1.49E+04,1.19E+09, ,4.85E+04,0.11340295,0.130359578,0.104678158,4.04E-01,2493.474152,118869.3797,3.89E+04,8.36E+04,1.59E+05,1.16E+05,2.52E+03,4.34E+04,461917013.9,45954.46054, ,4.00E-01,1.19E+00,5.52E-01,2.91E-01,1.005162521,0.213864366,,0.126275468,2.73373E-06,365801.072,,,
2010-01-01T14:39:25.985000, 2010-01-01T14:49:26.009000,5.18E-10,3.35E-09,2.05E-09,4.08E-09,4920350.372,-300353.6304,-7489.484548,-10999.02366,300660.1431,21336.08853,24560.81373,19418.06572,5974597.337,270401.9175,166293.4828,,3.65E+04,2.28E+04,2.16E+09, ,4.01E+04,0.28245353,0.374285411,0.233953383,3.91E-01,2920.41138,137895.9457,4.97E+04,7.49E+04,1.56E+05,9.34E+04,2.17E+03,6.28E+04,478515479.7,41124.61529, ,5.12E-01,9.64E-01,6.39E-01,3.06E-01,1.163574361,0.247569013,,0.126232529,2.638E-06,379074.6196,,,
2010-01-01T15:53:03.181000, 2010-01-01T16:03:03.205000,-2.50E-09,3.16E-09,-5.33E-10,4.11E-09,4771280.061,-276897.6867,-13608.43916,9170.68992,277393.5514,23730.29398,25307.68503,22407.97147,5323157.525,265855.1129,181742.0602,,3.88E+04,3.04E+04,1.72E+09, ,4.11E+04,0.333715493,0.379555225,0.297560458,3.94E-01,2875.831735,130161.2877,5.69E+04,8.70E+04,1.63E+05,9.84E+04,2.30E+03,6.42E+04,441485548.9,44702.10258, ,4.48E-01,7.76E-01,5.07E-01,2.71E-01,0.987616965,0.210131269,,0.400737515,9.07702E-06,110168.2604,,,
2010-01-01T16:25:03.313000, 2010-01-01T16:35:03.337000,-1.53E-09,3.86E-09,-6.43E-10,4.36E-09,6214525.314,-286132.1405,-12178.15748,12190.72108,286728.2758,20454.26405,22972.20439,18968.65712,6267568.872,261451.7258,144069.5769,,3.20E+04,2.18E+04,2.38E+09, ,3.81E+04,0.287610286,0.362778918,0.247348835,4.18E-01,3282.086313,141236.4311,4.54E+04,6.82E+04,1.40E+05,8.47E+04,2.12E+03,5.50E+04,456342224.2,38823.20025, ,5.39E-01,1.00E+00,6.69E-01,3.27E-01,1.175436907,0.250092959,,0.272013183,5.96073E-06,167764.7454,,,
